mission_id,rocket_name,family,launch_date,launch_site,lat,lon,payload_kg,orbit,success,flight_time_min,cost_million_usd
1,rocket_13,atlas,2012-05-03,Kourou,5.241580825844003,-52.74778969430387,1493,GTO,1,22,34.78
2,rocket_53,ariane,2024-06-18,Vandenberg,34.70750164334974,-120.58364575058482,3838,SSO,1,124,21.3
3,rocket_17,electron,2001-05-03,Vandenberg,34.72941050078151,-120.56044559066174,1525,GTO,1,30,5.0
4,rocket_259,soyuz,2001-03-10,Kourou,5.223987226201624,-52.773833874995866,5618,Transfer,1,96,35.64
5,rocket_113,electron,2020-02-24,Jiuquan,40.95601099092336,100.30608697826511,703,LEO,1,4,29.92
6,rocket_217,ariane,2015-04-06,Jiuquan,40.97536933159991,100.30172736562379,2469,GTO,1,18,52.95
7,rocket_173,soyuz,2004-08-01,Vandenberg,34.71506643805277,-120.59001182532094,268,HEO,1,135,21.93
8,rocket_184,atlas,2015-06-06,Jiuquan,40.981219990449915,100.31692560238233,1761,LEO,0,1,39.18
9,,,2005-08-07,,30.371445357574586,130.94879233382628,1178,,0,-15,46.49
10,rocket_186,delta,2008-08-16,Vandenberg,34.74923272050095,-120.5853023950921,7359,LEO,0,13,45.05
11,rocket_149,soyuz,2003-07-31,Kourou,5.228027232199696,-52.7692172817495,1222,LEO,0,82,16.19
12,rocket_143,electron,2020-05-03,Plesetsk,62.95655788089483,40.46163459563453,2337,GTO,1,40,35.36
13,rocket_182,longmarch,2009-05-25,Jiuquan,40.965742337401124,100.30459025791725,1116,Transfer,0,130,47.37
14,rocket_88,atlas,2023-12-17,Kourou,5.228157836937356,-52.797270298962644,3243,GTO,0,30,25.09
15,rocket_195,vega,2012-02-09,Kourou,5.2280896709683935,-52.7737827371294,1092,Transfer,1,66,35.18
16,rocket_29,longmarch,2010-04-10,Cape Canaveral,28.401988007814456,-80.60714791831532,1405,MEO,1,157,
17,rocket_138,electron,2002-12-20,Kourou,5.22281635395127,-52.767921253911375,3337,SSO,1,122,23.51
18,rocket_109,longmarch,2022-05-24,Tanegashima,30.3978564562903,130.97203866065374,1455,Transfer,1,119,12.47
19,rocket_74,vega,2011-11-18,Baikonur,45.94738718362941,63.30653789897169,2082,GTO,1,73,50.88
20,rocket_300,delta,2019-03-21,Tanegashima,30.343986731378678,130.95837125949612,4013,MEO,1,121,22.45
21,rocket_71,soyuz,2022-11-09,Satish Dhawan,13.712134712020468,80.21268975252343,1624,LEO,1,27,27.59
22,rocket_57,falcon,2006-11-09,Baikonur,45.93285033530878,63.30869267717065,4286,Transfer,1,124,69.61
23,rocket_33,electron,2017-04-05,Tanegashima,30.387352816910223,130.9813414159396,1019,SSO,1,145,16.99
24,rocket_271,vega,2011-04-12,Cape Canaveral,28.434152490222896,-80.59618234158177,952,Transfer,1,125,19.28
25,rocket_275,atlas,2011-12-20,Plesetsk,62.94239954719862,40.49736779044808,1882,LEO,1,0,13.04
26,rocket_223,delta,2007-02-04,Satish Dhawan,13.702109711407491,80.21408379430069,5848,LEO,1,10,18.69
27,rocket_257,delta,2008-01-06,Vandenberg,34.79668844318123,-120.57052469139697,4845,Transfer,0,144,38.07
28,rocket_260,delta,2008-12-02,Baikonur,45.960530744293486,63.319280009881844,2187,MEO,1,98,37.24
29,rocket_277,ariane,2023-10-16,Cape Canaveral,28.417748423366927,-80.61250183425211,5946,SSO,0,110,61.66
30,rocket_251,longmarch,2000-11-15,Vandenberg,34.72432285127597,-120.5693254978811,1352,MEO,1,123,35.78
31,rocket_123,delta,2002-08-07,Kourou,5.216819838071464,-52.74035990791656,5116,SSO,0,137,45.99
32,rocket_44,atlas,2021-10-19,Vandenberg,34.75341781021386,-120.5496886871964,2310,SSO,0,130,87.79
33,rocket_66,ariane,2021-04-27,Baikonur,45.96830045596219,63.28788142164341,6908,MEO,0,96,27.49
34,rocket_109,electron,2024-03-10,Kourou,5.226561362684211,-52.74622098806066,420,Transfer,1,133,5.81
35,rocket_205,delta,2016-10-01,Satish Dhawan,13.767680719147851,80.26726827516642,5128,SSO,0,130,10.94
36,rocket_62,vega,2011-02-13,Kourou,5.222764270704632,-52.75095133330407,3226,LEO,0,-25,32.8
37,rocket_11,longmarch,2010-04-28,Kourou,5.229315058176993,-52.77435693813021,1085,LEO,1,0,54.92
38,rocket_31,atlas,2010-04-08,Vandenberg,34.78444312394025,-120.55175069478898,1135,LEO,0,-10,43.77
39,rocket_37,longmarch,2023-01-23,Kourou,5.235611157182009,-52.786651833131224,2538,MEO,1,115,58.08
40,rocket_110,vega,2024-03-09,Baikonur,45.95619911026606,63.30761481154572,2089,Transfer,1,152,8.55
41,rocket_125,vega,2021-03-20,Tanegashima,30.370950849483368,130.95821793214233,3382,GTO,0,53,43.65
42,rocket_50,atlas,2019-05-03,Plesetsk,62.96966066749312,40.43295824400955,1794,HEO,1,151,11.43
43,rocket_240,electron,2002-06-06,Vandenberg,34.75969980934373,-120.5816905949729,196,LEO,0,5,33.11
44,rocket_174,electron,2004-11-25,Kourou,5.252257242376779,-52.75540742316153,744,GTO,0,62,34.61
45,rocket_275,soyuz,2020-02-15,Baikonur,45.95161594543638,63.328238746354934,1157,HEO,0,84,11.69
46,rocket_143,ariane,2020-10-01,Kourou,5.249639059425899,-52.77420533513187,8105,LEO,0,41,50.32
47,rocket_282,vega,2004-05-23,Cape Canaveral,28.360996097997297,-80.6145944702358,1148,Transfer,0,158,45.98
48,rocket_48,falcon,2010-08-08,Baikonur,45.96475506454306,63.287054912570284,7409,HEO,0,132,59.43
49,rocket_247,vega,2009-08-03,Tanegashima,30.38727682682951,130.984157615762,651,LEO,1,8,42.06
50,rocket_195,ariane,2000-02-05,Tanegashima,30.346038313170055,130.92885072451247,4133,MEO,0,110,53.48
51,rocket_147,vega,2018-12-22,Satish Dhawan,13.713853515158474,80.2303087434202,936,GTO,0,4,53.55
52,rocket_152,soyuz,2009-10-06,Cape Canaveral,28.407223930284825,-80.57500422173995,864,SSO,1,126,17.59
53,rocket_161,falcon,2002-07-25,Cape Canaveral,28.39823005329038,-80.58598891387284,4782,SSO,1,113,56.87
54,rocket_258,vega,2023-10-28,Baikonur,46.00806364915024,63.28965304874224,1447,LEO,1,44,44.39
55,rocket_96,atlas,2003-01-27,Vandenberg,34.71294301081855,-120.55671987178172,2244,Transfer,1,117,44.64
56,rocket_207,soyuz,2005-05-18,Kourou,5.242835119515543,-52.73047658321568,184,SSO,1,104,32.26
57,rocket_42,falcon,2018-10-21,Plesetsk,62.94100485906725,40.469354011121155,6900,MEO,0,134,72.15
58,rocket_161,soyuz,2010-09-15,Jiuquan,40.95830920309495,100.32305632623947,352,HEO,0,85,50.31
59,rocket_154,ariane,2020-07-05,Plesetsk,62.957324666458675,40.47824916962196,1811,LEO,1,20,54.54
60,rocket_235,falcon,2004-06-26,Vandenberg,34.75623229756177,-120.59489284183675,4373,SSO,1,122,57.72
61,rocket_260,soyuz,2011-11-24,Baikonur,45.967297229364284,63.33602525709466,2568,MEO,1,124,60.71
62,rocket_126,atlas,2016-07-29,Jiuquan,40.9735075189917,100.32567263115064,839,GTO,1,40,44.57
63,rocket_279,vega,2013-07-27,Cape Canaveral,28.414558271204925,-80.60840055642085,1429,Transfer,1,85,51.67
64,rocket_54,delta,2006-01-09,Jiuquan,40.9265323512129,100.29718904602207,5400,LEO,0,47,9.3
65,rocket_284,atlas,2006-12-21,Jiuquan,40.958141773868974,100.2967939269049,1268,MEO,1,142,8.38
66,rocket_176,soyuz,2009-02-17,Jiuquan,40.94088547907329,100.30838093031035,1702,SSO,1,118,44.33
67,rocket_129,vega,2002-04-12,Vandenberg,34.74314948006048,-120.61805604980081,560,Transfer,1,91,27.13
68,rocket_142,electron,2001-12-23,Cape Canaveral,28.394590439006183,-80.61007839199067,296,MEO,0,106,33.21
69,rocket_135,ariane,2007-04-01,Satish Dhawan,13.767382834868013,80.22418551470766,6228,SSO,1,109,31.58
70,rocket_288,electron,2000-06-07,Vandenberg,34.8035776161691,-120.55000850177132,753,LEO,0,26,34.67
71,rocket_280,ariane,2001-08-13,Plesetsk,62.92326189754879,40.47104418245253,4744,SSO,1,103,36.43
72,rocket_221,ariane,2005-09-19,Cape Canaveral,28.39667754717367,-80.5760601172222,2877,MEO,1,153,63.22
73,rocket_21,longmarch,2016-01-19,Kourou,5.2282386162040515,-52.781368039366065,654,Transfer,1,111,53.73
74,rocket_53,soyuz,2015-11-12,Tanegashima,30.361987148617562,130.9472574923247,3291,SSO,0,92,38.44
75,rocket_122,ariane,2007-04-16,Baikonur,45.97280506537967,63.30330182335008,3815,HEO,1,69,60.27
76,rocket_92,falcon,2014-11-25,Tanegashima,30.376986646108584,130.97202774246742,5474,Transfer,1,130,35.34
77,rocket_137,soyuz,2007-02-21,Vandenberg,34.74759514699573,-120.62721909688919,2838,HEO,0,108,14.97
78,rocket_241,falcon,2009-12-23,Kourou,5.234678404027053,-52.79222032399525,4082,HEO,1,132,25.08
79,rocket_157,longmarch,2010-03-17,Kourou,5.258126582096569,-52.75256723701398,803,LEO,1,2,41.4
80,rocket_205,soyuz,2014-09-22,Jiuquan,40.96802291746742,100.28622029626568,946,LEO,1,26,26.95
81,rocket_180,delta,2022-11-07,Tanegashima,30.363109678945516,130.9687665703692,5173,Transfer,1,117,31.71
82,rocket_15,longmarch,2005-03-04,Jiuquan,40.97802249406863,100.29177952935665,136,GTO,0,50,61.13
83,rocket_20,delta,2004-11-11,Tanegashima,30.396031860813434,130.9401291007551,7402,MEO,1,106,5.0
84,rocket_224,longmarch,2022-12-10,Vandenberg,34.74671229116217,-120.55698269612226,2660,HEO,0,136,5.0
85,,,2001-12-28,,30.394318440159193,130.95864109742305,2457,,1,25,48.71
86,rocket_187,soyuz,2019-05-07,Vandenberg,34.743431324744385,-120.5819531489353,474,Transfer,1,136,17.16
87,rocket_161,longmarch,2005-08-03,Jiuquan,40.95205184115101,100.28724708453306,1457,SSO,1,145,23.33
88,rocket_210,delta,2014-08-19,Tanegashima,30.359524216017928,130.93210690593378,6927,Transfer,0,128,58.15
89,rocket_284,delta,2005-09-16,Kourou,5.231943075606597,-52.767061691300995,1442,HEO,1,123,69.65
90,rocket_90,electron,2013-07-01,Tanegashima,30.4126404899295,130.9839084009231,4064,SSO,0,104,37.07
91,rocket_156,falcon,2012-11-13,Kourou,5.28677382203475,-52.75752094665784,8186,HEO,0,118,61.72
92,rocket_239,longmarch,2019-10-26,Satish Dhawan,13.736363411679239,80.23186635934377,676,Transfer,1,99,5.18
93,rocket_262,soyuz,2021-03-23,Baikonur,45.942491619845065,63.30201926666541,2079,Transfer,0,89,26.09
94,rocket_146,atlas,2023-02-14,Plesetsk,62.96397912189891,40.49453130059096,486,LEO,1,10,40.44
95,rocket_159,soyuz,2010-01-28,Kourou,5.2224486757453255,-52.76501426873055,50,GTO,1,45,32.37
96,rocket_24,falcon,2010-12-25,Satish Dhawan,13.71924493459568,80.21953150457733,3434,SSO,0,108,41.8
97,rocket_234,atlas,2018-08-04,Kourou,5.194432466901621,-52.79281280155375,925,Transfer,1,147,5.0
98,rocket_254,electron,2017-12-04,Kourou,5.213788483090683,-52.73295459113153,1855,GTO,1,16,18.33
99,rocket_55,falcon,2019-01-26,Kourou,5.237974915552747,-52.770606902919745,6871,GTO,1,30,39.08
100,rocket_26,vega,2011-03-06,Vandenberg,34.75621919936407,-120.56351473377028,1500,HEO,1,115,24.38
101,rocket_238,ariane,2023-10-29,Plesetsk,62.89360441655863,40.507293738685256,4278,HEO,1,106,35.94
102,rocket_281,electron,2020-01-01,Baikonur,45.93939141295008,63.340095883639684,1983,Transfer,1,88,39.09
103,rocket_231,vega,2011-08-17,Kourou,5.229285698542268,-52.74107911585071,3663,Transfer,1,139,29.54
104,rocket_267,delta,2021-09-26,Kourou,5.236368678661307,-52.76104836589277,9310,MEO,1,123,27.24
105,rocket_40,vega,2012-10-25,Kourou,5.276111480912799,-52.75364816840414,579,MEO,1,87,38.28
106,rocket_164,longmarch,2024-03-24,Vandenberg,34.77530948888925,-120.55211259869964,438,GTO,1,50,44.74
107,rocket_119,ariane,2017-03-07,Baikonur,45.93631270065683,63.31662044019732,1318,Transfer,1,113,52.98
108,rocket_33,soyuz,2018-08-11,Tanegashima,30.35601202222336,131.00964764129674,2548,MEO,1,100,45.8
109,rocket_213,vega,2002-10-17,Kourou,5.235893270583267,-52.78117537651563,1486,HEO,0,132,7.21
110,rocket_300,electron,2000-11-16,Tanegashima,30.362460658844245,130.99324897115994,2879,HEO,0,119,
111,rocket_181,falcon,2013-05-24,Tanegashima,30.33974266142258,130.97988270405233,6415,HEO,0,98,63.94
112,,,2009-11-04,,40.97179580895862,100.31991561451109,2138,,1,127,39.16
113,rocket_15,vega,2017-06-11,Plesetsk,62.94336969469277,40.47467695308492,2167,Transfer,1,89,29.13
114,rocket_85,electron,2020-12-18,Baikonur,45.96556636752261,63.30559512278992,1393,SSO,0,119,40.22
