mission_id,rocket_name,family,launch_date,launch_site,lat,lon,payload_kg,orbit,success,flight_time_min,cost_million_usd,mission_year,payload_class,cost_per_kg
1,rocket_13,atlas,2012-05-03,kourou,5.241580825844003,-52.74778969430387,1493,gto,1,22,34.78,2012,medium,23279.78580990629
2,rocket_53,ariane,2024-06-18,vandenberg,34.70750164334974,-120.58364575058482,3838,sso,1,124,21.3,2024,large,5548.319874967439
3,rocket_17,electron,2001-05-03,vandenberg,34.72941050078151,-120.56044559066174,1525,gto,1,30,5.0,2001,medium,3276.53997378768
4,rocket_259,soyuz,2001-03-10,kourou,5.223987226201624,-52.773833874995866,5618,transfer,1,96,35.64,2001,heavy,6342.765616657768
5,rocket_113,electron,2020-02-24,jiuquan,40.95601099092336,100.30608697826511,703,leo,1,4,29.92,2020,medium,42500.0
6,rocket_217,ariane,2015-04-06,jiuquan,40.97536933159991,100.30172736562379,2469,gto,1,18,52.95,2015,large,21437.246963562753
7,rocket_173,soyuz,2004-08-01,vandenberg,34.71506643805277,-120.59001182532094,268,heo,1,135,21.93,2004,small,81524.16356877323
8,rocket_184,atlas,2015-06-06,jiuquan,40.981219990449915,100.31692560238233,1761,leo,0,1,39.18,2015,medium,22236.095346197504
9,,,2005-08-07,,30.371445357574586,130.94879233382628,1178,,0,-15,46.49,2005,medium,39431.721798134015
10,rocket_186,delta,2008-08-16,vandenberg,34.74923272050095,-120.5853023950921,7359,leo,0,13,45.05,2008,heavy,6120.923913043478
11,rocket_149,soyuz,2003-07-31,kourou,5.228027232199696,-52.7692172817495,1222,leo,0,82,16.19,2003,medium,13237.939493049878
12,rocket_143,electron,2020-05-03,plesetsk,62.95655788089483,40.46163459563453,2337,gto,1,40,35.36,2020,large,15124.037639007698
13,rocket_182,longmarch,2009-05-25,jiuquan,40.965742337401124,100.30459025791725,1116,transfer,0,130,47.37,2009,medium,42408.236347358994
14,rocket_88,atlas,2023-12-17,kourou,5.228157836937356,-52.797270298962644,3243,gto,0,30,25.09,2023,large,7734.278668310728
15,rocket_195,vega,2012-02-09,kourou,5.2280896709683935,-52.7737827371294,1092,transfer,1,66,35.18,2012,medium,32186.642268984448
16,rocket_29,longmarch,2010-04-10,cape canaveral,28.401988007814456,-80.60714791831532,1405,meo,1,157,33.705,2010,medium,23972.26173541963
17,rocket_138,electron,2002-12-20,kourou,5.22281635395127,-52.767921253911375,3337,sso,1,122,23.51,2002,large,7043.139604553625
